NameFirst;NameLast;CountryOfBirth;ContinentOfBirth;CountryOfOrganisation;ContinentOfOrganisation;CountryOfDeath;ContinentOfDeath;Color
Mario;Vargas Llosa;Peru;South America;None;None;None;None;1
Adolfo;Pérez Esquivel;Argentina;South America;None;None;None;None;1
Juan Manuel;Santos;Colombia;South America;None;None;None;None;1
Carlos Filipe Ximenes;Belo;East Timor;Oceania;None;None;None;None;2
J. Robin;Warren;Australia;Oceania;None;None;None;None;2
José;Ramos-Horta;East Timor;Oceania;None;None;None;None;2
Kip S.;Thorne;USA;North America;None;None;None;None;4
Jody;Williams;USA;North America;None;None;None;None;4
Oscar;Arias Sánchez;Costa Rica;North America;None;None;None;None;4
Alice;Munro;Canada;North America;None;None;None;None;4
Barack;Obama;USA;North America;None;None;None;None;4
Jimmy;Carter;USA;North America;None;None;None;None;4
Rigoberta;Menchú Tum;Guatemala;North America;None;None;None;None;4
Barry C.;Barish;USA;North America;None;None;None;None;4
Bob;Dylan;USA;North America;None;None;None;None;4
Al;Gore;USA;North America;None;None;None;None;4
Louise;Glück;USA;North America;None;None;None;None;4
Elfriede;Jelinek;Austria;Europe;None;None;None;None;3
Jean-Marie Gustave;Le Clézio;France;Europe;None;None;None;None;3
Patrick;Modiano;France;Europe;None;None;None;None;3
Rainer;Weiss;Germany;Europe;None;None;None;None;3
Herta;Müller;Romania;Europe;None;None;None;None;3
Lech;Walesa;Poland;Europe;None;None;None;None;3
Svetlana;Alexievich;Ukraine;Europe;None;None;None;None;3
Peter;Handke;Austria;Europe;None;None;None;None;3
Henry;Kissinger;Germany;Europe;None;None;None;None;3
Olga;Tokarczuk;Poland;Europe;None;None;None;None;3
Martti;Ahtisaari;Finland;Europe;None;None;None;None;3
Orhan;Pamuk;Turkey;Europe;None;None;None;None;3
Annie;Ernaux;France;Europe;None;None;None;None;3
Mairead;Corrigan;Northern Ireland;Europe;None;None;None;None;3
Tawakkol;Karman;Yemen;Asia;None;None;None;None;6
Maria;Ressa;Philippines;Asia;None;None;None;None;6
Dmitry;Muratov;USSR (now Russia);Asia;None;None;None;None;6
Ales;Bialiatski;Russia;Asia;None;None;None;None;6
Aung San Suu Kyi;;Burma (now Myanmar);Asia;None;None;None;None;6
Malala;Yousafzai;Pakistan;Asia;None;None;None;None;6
Kim;Dae-jung;Korea (now South Korea);Asia;None;None;None;None;6
Nadia;Murad;Iraq;Asia;None;None;None;None;6
Mo;Yan;China;Asia;None;None;None;None;6
Lhamo;Thondup;Tibet (now China);Asia;None;None;None;None;6
