ID_Laureate;Year;Category;LaureateNameFirst;LaureateNameLast;ParCatDegreeInstitution;ParCatDegreeCity;ParCatDegreeCountry;ParCatDegreeCityCountry;ParCatWorkInstitution;ParCatWorkCity;ParCatWorkCountry;ParCatWorkCityCountry;ParCatPrizeInstitution;ParCatPrizeCity;ParCatPrizeCountry;ParCatPrizeCityCountry
280;1994;Chemistry;George A.;Olah;Technical University;Budapest;Hungary;Budapest (Hungary);Dow Chemical Company (Sania;Sarnia;Canada;Sarnia (Canada);University of Southern California (USC);Los Angeles;United States;Los Angeles (United States)
281;1995;Chemistry;Paul J.;Crutzen;University of Stockholm;Stockholm;Sweden;Stockholm (Sweden);University of Stockholm;Stockholm;Sweden;Stockholm (Sweden);Max-Planck-Institute f. Chemistry;Mainz;Germany;Mainz (Germany)
282;1995;Chemistry;Mario J.;Molina;University of California;Berkeley;United States;Berkeley (United States);University of California Irvine (UCI);Irvine;United States;Irvine (United States);Massachusetts Institute of Technology (MIT);MA;United States;MA (United States)
283;1995;Chemistry;F. Sherwood;Rowland;University of Chicago;Chicago;United States;Chicago (United States);University of California Irvine (UCI);Irvine;United States;Irvine (United States);University of California Irvine (UCI);Irvine;United States;Irvine (United States)
284;1996;Chemistry;Robert F.;Curl Jr.;University of California;Berkeley;United States;Berkeley (United States);Rice University;Houston;United States;Houston (United States);Rice University;Houston;United States;Houston (United States)
285;1996;Chemistry;Sir Harold;Kroto;University of Sheffield;Sheffield;United Kingdom;Sheffield (United Kingdom);Rice University;Houston;United States;Houston (United States);University of Sussex;Brighton;United Kingdom;Brighton (United Kingdom)
286;1996;Chemistry;Richard E.;Smalley;Princeton University;New Jersey;United States;New Jersey (United States);Rice University;Houston;United States;Houston (United States);Rice University;Houston;United States;Houston (United States)
287;1997;Chemistry;Paul D.;Boyer;University of Wisconsin-Madison;Madison;United States;Madison (United States);University California (UCLA);Los Angeles;United States;Los Angeles (United States);University California (UCLA);Los Angeles;United States;Los Angeles (United States)
289;1997;Chemistry;Jens C.;Skou;Aarhus University;Aarhus;Denmark;Aarhus (Denmark);Aarhus University;Aarhus;Denmark;Aarhus (Denmark);Aarhus University;Aarhus;Denmark;Aarhus (Denmark)
288;1997;Chemistry;John E.;Walker;Oxford University;Oxford;United Kingdom;Oxford (United Kingdom);Medical Research Council (MRC);Cambridge;United Kingdom;Cambridge (United Kingdom);Medical Research Council (MRC);Cambridge;United Kingdom;Cambridge (United Kingdom)
290;1998;Chemistry;Walter;Kohn;Harvard University;Cambridge;United States;Cambridge (United States);University of California;San Diego;United States;San Diego (United States);University of California;Santa Barbara;United States;Santa Barbara (United States)
291;1998;Chemistry;John;Pople;Cambridge University;Cambridge;United Kingdom;Cambridge (United Kingdom);Carnegie–Mellon University;Pittsburgh;United States;Pittsburgh (United States);Northwestern University;Evanston;United States;Evanston (United States)
292;1999;Chemistry;Ahmed;Zewail;University of Pennsylvania;Philadelphia;United States;Philadelphia (United States);California Institute of Technology (Caltech);Pasadena;United States;Pasadena (United States);California Institute of Technology (Caltech);Pasadena;United States;Pasadena (United States)
729;2000;Chemistry;Alan;Heeger;University of California;Berkeley;United States;Berkeley (United States);University of Pennsylvania;Philadelphia;United States;Philadelphia (United States);;Philadelphia;United States;Philadelphia (United States)
730;2000;Chemistry;Alan;MacDiarmid;University of Wisconsin;Madison;United States;Madison (United States);University of Pennsylvania;Philadelphia;United States;Philadelphia (United States);University of Pennsylvania;Philadelphia;United States;Philadelphia (United States)
731;2000;Chemistry;Hideki;Shirakawa;Tokyo Institute of Technology;Tokyo;Japan;Tokyo (Japan);University of Pennsylvania;Philadelphia;United States;Philadelphia (United States);University of Tsukuba;Tokyo;Japan;Tokyo (Japan)
741;2001;Chemistry;William;Knowles;Columbia University;New York;United States;New York (United States);Monsanto;St. Louis;United States;St. Louis (United States);Monsanto;St. Louis;United States;St. Louis (United States)
742;2001;Chemistry;Ryoji;Noyori;Kyōto University;Kyoto;Japan;Kyoto (Japan);Nagoya University;Nagoya;Japan;Nagoya (Japan);Nagoya University;Nagoya;Japan;Nagoya (Japan)
743;2001;Chemistry;Barry;Sharpless;Stanford University;Stanford;United States;Stanford (United States);Massachusetts Institute of Technology (MIT);Cambridge;United States;Cambridge (United States);The Scripps Research Inst. La Jolla (TSRI);La Jolla;United States;La Jolla (United States)
756;2002;Chemistry;John B.;Fenn;Yale University;New Haven;United States;New Haven (United States);Yale University;New Haven;United States;New Haven (United States);Virginia University;Richmond;United States;Richmond (United States)
757;2002;Chemistry;Koichi;Tanaka;no Ph. (Tōhoku University;Tohoku;Japan;Tohoku (Japan);Shimadzu Corporation Kyōto;Kyoto;Japan;Kyoto (Japan);Shimadzu Corporation Kyōto;Kyoto;Japan;Kyoto (Japan)
758;2002;Chemistry;Kurt;WÃ¼thrich;Basel University;Basel;Switzerland;Basel (Switzerland);Eidgenössische Tech. Hochschule (ETH);Zurich;Switzerland;Zurich (Switzerland);Eidgenössische Tech. Hochschule (ETH);Zurich;Switzerland;Zurich (Switzerland)
769;2003;Chemistry;Peter;Agre;John Hopkins  School of Medicine;Baltimore;United States;Baltimore (United States);John Hopkins  School of Medicine;Baltimore;United States;Baltimore (United States);John Hopkins University   School of Medicine;Baltimore;United States;Baltimore (United States)
770;2003;Chemistry;Roderick;MacKinnon;Tufts University;Medford;United States;Medford (United States);Rockefeller University;New York;United States;New York (United States);Rockefeller University;New York;United States;New York (United States)
779;2004;Chemistry;Aaron;Ciechanover;Hebrew University–Hadassah;Jerusalem;Israel;Jerusalem (Israel);Technion—Israel Institute of Technology;Haifa;Israel;Haifa (Israel);Technion—Israel Institute of Technology;Haifa;Israel;Haifa (Israel)
780;2004;Chemistry;Avram;Hershko;Hebrew University–Hadassah;Jerusalem;Israel;Jerusalem (Israel);Technion—Israel Institute of Technology;Haifa;Israel;Haifa (Israel);Technion—Israel Institute of Technology;Haifa;Israel;Haifa (Israel)
781;2004;Chemistry;Irwin;Rose;University Chicago;Chicago;United States;Chicago (United States);FOX Chase Cancer Center;Philadelphia;United States;Philadelphia (United States);University California Irvine (UCI);Irvine;United States;Irvine (United States)
794;2005;Chemistry;Yves;Chauvin;L`École Chemie Industrielle;Lyon;France;Lyon (France);Institut Français du Pétrole;Rueil-Malmaison;France;Rueil-Malmaison (France);Institut Français du Pétrole;Paris;France;Paris (France)
795;2005;Chemistry;Robert H.;Grubbs;Columbia University;New York;United States;New York (United States);California Institute of Technology (Caltech);Pasadena;United States;Pasadena (United States);California Institute of Technology (Caltech);Pasadena;United States;Pasadena (United States)
796;2005;Chemistry;Richard R.;Schrock;Harvard University;Cambridge;United States;Cambridge (United States);Massachusetts Institute of Technology (MIT);Cambridge;United States;Cambridge (United States);Massachusetts Institute of Technology (MIT);Cambridge;United States;Cambridge (United States)
806;2006;Chemistry;Roger D.;Kornberg;Stanford University;Stanford;United States;Stanford (United States);Stanford University;Stanford;United States;Stanford (United States);Stanford University;Stanford;United States;Stanford (United States)
816;2007;Chemistry;Gerhard;Ertl;Technische Universität (TU);Munich;Germany;Munich (Germany);Ludwig-Maximilians-Universität Munich;Munich;Germany;Munich (Germany);Fritz-Haber-Institut;Berlin;Germany;Berlin (Germany)
830;2008;Chemistry;Martin;Chalfie;Harvard University;Cambridge;United States;Cambridge (United States);Columbia University;New York;United States;New York (United States);Columbia University;New York;United States;New York (United States)
829;2008;Chemistry;Osamu;Shimomura;Nagoya University;Nagoya;Japan;Nagoya (Japan);Princeton University;Princeton;United States;Princeton (United States);Boston University Medical School;Woods Hole;United States;Woods Hole (United States)
