Category;Field_solo;Field;Count
Chemistry;Organic Biological;Chemistry: Organic Biological (43);43
Chemistry;Organic Molecular;Chemistry: Organic Molecular (22);22
Chemistry;Organic Other;Chemistry: Organic Other (33);33
Chemistry;Inorganic Molecular;Chemistry: Inorganic Molecular (9);9
Chemistry;Inorganic Other;Chemistry: Inorganic Other (14);14
Chemistry;Physical Quantum;Chemistry: Physical Quantum (12);12
Chemistry;Physical Other ;Chemistry: Physical Other  (50);50
Chemistry;Analytical;Chemistry: Analytical (11);11
Medicine;Biochemistry/Molecular;Medicine: Biochemistry/Molecular (48);48
Medicine;Cellular;Medicine: Cellular (20);20
Medicine;Organs and Systems;Medicine: Organs and Systems (15);15
Medicine;Genetics;Medicine: Genetics (49);49
Medicine;Neuroscience;Medicine: Neuroscience (28);28
Medicine;Immunology and Diseases;Medicine: Immunology and Diseases (58);58
Medicine;Applied Medicine;Medicine: Applied Medicine (6);6
Medicine;Ethnology;Medicine: Ethnology (3);3
Physics;Nuclear and Particle;Physics: Nuclear and Particle (67);67
Physics;Atomic and Molecular;Physics: Atomic and Molecular (18);18
Physics;Condensed-matter;Physics: Condensed-matter (51);51
Physics;Quantum;Physics: Quantum (21);21
Physics;Astrophysics;Physics: Astrophysics (27);27
Physics;Applied;Physics: Applied (21);21
Physics;Classical;Physics: Classical (5);5
Physics;Optical;Physics: Optical (12);12
Physics;Chaos;Physics: Chaos (3);3
