ID_Laureate;AwardeeDisplayName;LaureateNameKnown;LaureateNameFirst;LaureateNameLast;LaureateNameFull;LaureateNamePenOriginal;Filename;LaureateGender;OrganisationName;OrganisationNameNative;OrganisationAcronym;OrganisationFoundedDate;OrganisationFoundedCity;OrganisationFoundedCityNow;OrganisationFoundedCityNowWiki;OrganisationFoundedCountry;OrganisationFoundedCountryNow;OrganisationFoundedNowWiki;OrganisationFoundedContinent;BirthDate;BirthCity;BirthCityNow;BirthCityNowWiki;BirthCityNowLat;BirthCityNowLon;BirthCountry;BirthCountryNow;BirthCountryNowWiki;BirthCountryLat;BirthCountryLon;BirthContinent;DeathDate;DeathCity;DeathCityNow;DeathCityNowWiki;DeathCityLat;DeathCityLon;DeathCountry;DeathCountryNow;DeathCountryNowWiki;DeathCountryLat;DeathCountryLon;DeathContinent;WikipediaSlug;WikipediaURL;WikidataID;WikidataURL;Prize0_AwardYear;Prize0_Category;Prize0_SortOrder;Prize0_Portion;Prize0_DateAwarded;Prize0_Status;Prize0_Amount;Prize0_AmountAdjusted_;Prize0_Motivation;Prize0_MotivationTop;Prize0_Affiliation0_Name;Prize0_Affiliation0_NameNow;Prize0_Affiliation0_NameNative;Prize0_Affiliation0_City;Prize0_Affiliation0_CityNow;Prize0_Affiliation0_CityLatitude;Prize0_Affiliation0_CityLongitude;Prize0_Affiliation0_Country;Prize0_Affiliation0_CountryNow;Prize0_Affiliation0_CountryLat;Prize0_Affiliation0_CountryLon;Prize0_Affiliation0_Continent;Prize0_Affiliation1_Name;Prize0_Affiliation1_NameNow;Prize0_Affiliation1_NameNative;Prize0_Affiliation1_City;Prize0_Affiliation1_CityNow;Prize0_Affiliation1_CityLatitude;Prize0_Affiliation1_CityLongitude;Prize0_Affiliation1_Country;Prize0_Affiliation1_CountryNow;Prize0_Affiliation1_CountryLat;Prize0_Affiliation1_CountryLon;Prize0_Affiliation1_Continent;Prize0_Residence0_City;Prize0_Residence0_CityNow;Prize0_Residence0_Country;Prize0_Residence0_CountryNow;Prize0_Residence0_Continent;Prize0_Residence1_City;Prize0_Residence1_CityNow;Prize0_Residence1_Country;Prize0_Residence1_CountryNow;Prize0_Residence1_Continent;Prize1_AwardYear;Prize1_Category;Prize1_SortOrder;Prize1_Portion;Prize1_DateAwarded;Prize1_Status;Prize1_Amount;Prize1_AmountAdjusted_;Prize1_Motivation;Prize1_MotivationTop;Prize1_Affiliation0_Name;Prize1_Affiliation0_NameNow;Prize1_Affiliation0_NameNative;Prize1_Affiliation0_City;Prize1_Affiliation0_CityNow;Prize1_Affiliation0_CityLatitude;Prize1_Affiliation0_CityLongitude;Prize1_Affiliation0_Country;Prize1_Affiliation0_CountryNow;Prize1_Affiliation0_CountryLat;Prize1_Affiliation0_CountryLon;Prize1_Affiliation0_Continent;Prize2_AwardYear;Prize2_Category;Prize2_SortOrder;Prize2_Portion;Prize2_DateAwarded;Prize2_Status;Prize2_Amount;Prize2_AmountAdjusted_;Prize2_Motivation;Prize2_MotivationTop;Prize0_Affiliation2_Name;Prize0_Affiliation2_NameNow;Prize0_Affiliation2_NameNative;Prize0_Affiliation2_City;Prize0_Affiliation2_CityNow;Prize0_Affiliation2_CityLatitude;Prize0_Affiliation2_CityLongitude;Prize0_Affiliation2_Country;Prize0_Affiliation2_CountryNow;Prize0_Affiliation2_CountryLat;Prize0_Affiliation2_CountryLon;Prize0_Affiliation2_Continent;Prize0_Affiliation3_Name;Prize0_Affiliation3_NameNow;Prize0_Affiliation3_NameNative;Prize0_Affiliation3_City;Prize0_Affiliation3_CityNow;Prize0_Affiliation3_CityLatitude;Prize0_Affiliation3_CityLongitude;Prize0_Affiliation3_Country;Prize0_Affiliation3_CountryNow;Prize0_Affiliation3_CountryLat;Prize0_Affiliation3_CountryLon;Prize0_Affiliation3_Continent
745;A. Michael Spence;A. Michael Spence;A. Michael;Spence;A. Michael Spence;;spence;male;;;;;;;;;;;;1943-00-00;Montclair, NJ;Montclair, NJ;https://www.wikidata.org/wiki/Q678437;40.825930;-74.209030;USA;USA;https://www.wikidata.org/wiki/Q30;39.828175;-98.579500;North America;;;;;;;;;;;;;Michael_Spence;https://en.wikipedia.org/wiki/Michael_Spence;Q157245;https://www.wikidata.org/wiki/Q157245;2001;Economic Sciences;2;1/3;2001-10-10;received;10000000;15114754;for their analyses of markets with asymmetric information;;Stanford University;Stanford University;;Stanford, CA;Stanford, CA;37.424734;-122.163858;USA;USA;39.828175;-98.579500;North America;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;Aage N. Bohr;Aage N. Bohr;Aage N.;Bohr;Aage Niels Bohr;;bohr;male;;;;;;;;;;;;1922-06-19;Copenhagen;Copenhagen;https://www.wikidata.org/wiki/Q1748;55.678127;12.572532;Denmark;Denmark;https://www.wikidata.org/wiki/Q35;56.000000;10.000000;Europe;2009-09-08;Copenhagen;Copenhagen;https://www.wikidata.org/wiki/Q1748;55.678127;12.572532;Denmark;Denmark;https://www.wikidata.org/wiki/Q35;56.000000;10.000000;Europe;Aage_Bohr;https://en.wikipedia.org/wiki/Aage_Bohr;Q103854;https://www.wikidata.org/wiki/Q103854;1975;Physics;1;1/3;1975-10-17;received;630000;4184870;for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection;;Niels Bohr Institute;Niels Bohr Institute;;Copenhagen;Copenhagen;55.678127;12.572532;Denmark;Denmark;56.000000;10.000000;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
779;Aaron Ciechanover;Aaron Ciechanover;Aaron;Ciechanover;Aaron Ciechanover;;ciechanover;male;;;;;;;;;;;;1947-10-01;Haifa;Haifa;https://www.wikidata.org/wiki/Q41621;32.794421;34.990340;British Protectorate of Palestine;Israel;https://www.wikidata.org/wiki/Q801;31.000000;35.000000;Asia;;;;;;;;;;;;;Aaron_Ciechanover;https://en.wikipedia.org/wiki/Aaron_Ciechanover;Q233205;https://www.wikidata.org/wiki/Q233205;2004;Chemistry;1;1/3;2004-10-06;received;10000000;14460477;for the discovery of ubiquitin-mediated protein degradation;;Technion - Israel Institute of Technology;Technion - Israel Institute of Technology;;Haifa;Haifa;32.794421;34.990340;Israel;Israel;31.000000;35.000000;Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
259;Aaron Klug;Aaron Klug;Aaron;Klug;Aaron Klug;;klug;male;;;;;;;;;;;;1926-08-11;Zelvas;Zelvas;https://www.wikidata.org/wiki/Q691679;53.148256;24.816515;Lithuania;Lithuania;https://www.wikidata.org/wiki/Q37;55.200000;24.000000;Europe;2018-11-20;;;;;;;;;;;;Aaron_Klug;https://en.wikipedia.org/wiki/Aaron_Klug;Q190626;https://www.wikidata.org/wiki/Q190626;1982;Chemistry;1;1;1982-10-18;received;1150000;3814029;for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes;;MRC Laboratory of Molecular Biology;MRC Laboratory of Molecular Biology;;Cambridge;Cambridge;52.194605;0.135092;United Kingdom;United Kingdom;54.600000;-2.000000;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1004;Abdulrazak Gurnah;Abdulrazak Gurnah;Abdulrazak;Gurnah;Abdulrazak Gurnah;;gurnah;male;;;;;;;;;;;;1948-00-00;;;;;;;;;;;;;;;;;;;;;;;;Abdulrazak_Gurnah;https://en.wikipedia.org/wiki/Abdulrazak_Gurnah;Q317877;https://www.wikidata.org/wiki/Q317877;2021;Literature;1;1;2021-10-07;received;10000000;11760204;for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;Abdus Salam;Abdus Salam;Abdus;Salam;Abdus Salam;;salam;male;;;;;;;;;;;;1926-01-29;Jhang Maghiāna;Jhang Maghiāna;https://www.wikidata.org/wiki/Q1026616;31.268056;72.318056;India;Pakistan;https://www.wikidata.org/wiki/Q843;30.000000;71.000000;Asia;1996-11-21;Oxford;Oxford;https://www.wikidata.org/wiki/Q34217;51.753363;-1.260979;United Kingdom;United Kingdom;https://www.wikidata.org/wiki/Q145;54.600000;-2.000000;Europe;Abdus_Salam;https://en.wikipedia.org/wiki/Abdus_Salam;Q28189;https://www.wikidata.org/wiki/Q28189;1979;Physics;2;1/3;1979-10-15;received;800000;3673307;for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current;;International Centre for Theoretical Physics;International Centre for Theoretical Physics;;Trieste;Trieste;45.649433;13.776623;Italy;Italy;42.500000;12.500000;Europe;Imperial College;Imperial College;;London;London;51.510235;-0.120852;United Kingdom;United Kingdom;54.600000;-2.000000;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
982;Abhijit Banerjee;Abhijit Banerjee;Abhijit;Banerjee;Abhijit Banerjee;;banerjee;male;;;;;;;;;;;;1961-02-21;Mumbai;Mumbai;https://www.wikidata.org/wiki/Q1156;19.075833;72.877500;India;India;https://www.wikidata.org/wiki/Q668;22.800000;83.000000;Asia;;;;;;;;;;;;;Abhijit_Banerjee;https://en.wikipedia.org/wiki/Abhijit_Banerjee;Q320578;https://www.wikidata.org/wiki/Q320578;2019;Economic Sciences;1;1/3;2019-10-14;received;9000000;10866946;for their experimental approach to alleviating global poverty;;Massachusetts Institute of Technology (MIT);Massachusetts Institute of Technology (MIT);;Cambridge, MA;Cambridge, MA;42.374024;-71.107306;USA;USA;39.828175;-98.579500;North America;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
981;Abiy Ahmed Ali;Abiy Ahmed Ali;Abiy;Ahmed Ali;Abiy Ahmed Ali;;abiy;male;;;;;;;;;;;;1976-08-15;Beshasha;Beshasha;https://www.wikidata.org/wiki/Q2899862;7.795864;36.477062;Ethiopia;Ethiopia;https://www.wikidata.org/wiki/Q115;9.000000;40.000000;Africa;;;;;;;;;;;;;Abiy_Ahmed;https://en.wikipedia.org/wiki/Abiy_Ahmed;Q50365049;https://www.wikidata.org/wiki/Q50365049;2019;Peace;1;1;2019-10-11;received;9000000;10866946;for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
843;Ada E. Yonath;Ada E. Yonath;Ada E.;Yonath;Ada E. Yonath;;yonath;female;;;;;;;;;;;;1939-06-22;Jerusalem;Jerusalem;https://www.wikidata.org/wiki/Q1218;31.767983;35.213809;British Mandate of Palestine;Israel;https://www.wikidata.org/wiki/Q801;31.000000;35.000000;Asia;;;;;;;;;;;;;Ada_Yonath;https://en.wikipedia.org/wiki/Ada_Yonath;Q7426;https://www.wikidata.org/wiki/Q7426;2009;Chemistry;3;1/3;2009-10-07;received;10000000;13471654;for studies of the structure and function of the ribosome;;Weizmann Institute of Science;Weizmann Institute of Science;;Rehovot;Rehovot;31.892773;34.811272;Israel;Israel;31.000000;35.000000;Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
866;Adam G. Riess;Adam G. Riess;Adam G.;Riess;Adam G. Riess;;riess;male;;;;;;;;;;;;1969-12-16;Washington, D.C.;Washington, D.C.;https://www.wikidata.org/wiki/Q61;38.899065;-77.036523;USA;USA;https://www.wikidata.org/wiki/Q30;39.828175;-98.579500;North America;;;;;;;;;;;;;Adam_Riess;https://en.wikipedia.org/wiki/Adam_Riess;Q106454;https://www.wikidata.org/wiki/Q106454;2011;Physics;3;1/4;2011-10-04;received;10000000;12964004;for the discovery of the accelerating expansion of the Universe through observations of distant supernovae;;Johns Hopkins University;Johns Hopkins University;;Baltimore, MD;Baltimore, MD;39.291586;-76.625305;USA;USA;39.828175;-98.579500;North America;Space Telescope Science Institute;Space Telescope Science Institute;;Baltimore, MD;Baltimore, MD;39.291586;-76.625305;USA;USA;39.828175;-98.579500;North America;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
