ID_Laureate;AwardeeDisplayName;LaureateNameFirst;LaureateNameLast;LaureateGender;OrganisationName;OrganisationFoundedDate;OrganisationFoundedCity;OrganisationFoundedCityNow;OrganisationFoundedCityNowWiki;OrganisationFoundedCountry;OrganisationFoundedCountryNow;OrganisationFoundedNowWiki;OrganisationFoundedContinent;BirthDate;BirthCity;BirthCityNow;BirthCityNowWiki;BirthCityNowLat;BirthCityNowLon;BirthCountry;BirthCountryNow;BirthCountryNowWiki;BirthCountryLat;BirthCountryLon;BirthContinent;DeathDate;DeathCity;DeathCityNow;DeathCityNowWiki;DeathCityLat;DeathCityLon;DeathCountry;DeathCountryNow;DeathCountryNowWiki;DeathCountryLat;DeathCountryLon;DeathContinent;WikipediaSlug;WikipediaURL;Prize0_AwardYear;Prize0_Category;Prize0_Portion;Prize0_DateAwarded;Prize0_Status;Prize0_Amount;Prize0_AmountAdjusted_;Prize0_Motivation;Prize0_MotivationTop;Prize0_Affiliation0_Name;Prize0_Affiliation0_NameNow;Prize0_Affiliation0_City;Prize0_Affiliation0_CityNow;Prize0_Affiliation0_CityLatitude;Prize0_Affiliation0_CityLongitude;Prize0_Affiliation0_Country;Prize0_Affiliation0_CountryNow;Prize0_Affiliation0_CountryLat;Prize0_Affiliation0_CountryLon;Prize0_Affiliation0_Continent;Prize1_AwardYear;Prize1_Category;Prize1_SortOrder;Prize1_Portion;Prize1_DateAwarded;Prize1_Status;Prize1_Amount;Prize1_AmountAdjusted_;Prize1_Motivation;Prize1_MotivationTop;Prize1_Affiliation0_Name;Prize1_Affiliation0_NameNow;Prize1_Affiliation0_NameNative;Prize1_Affiliation0_City;Prize1_Affiliation0_CityNow;Prize1_Affiliation0_CityLatitude;Prize1_Affiliation0_CityLongitude;Prize1_Affiliation0_Country;Prize1_Affiliation0_CountryNow;Prize1_Affiliation0_CountryLat;Prize1_Affiliation0_CountryLon;Prize1_Affiliation0_Continent;Prize2_AwardYear;Prize2_Category;Prize2_SortOrder;Prize2_Portion;Prize2_DateAwarded;Prize2_Status;Prize2_Amount;Prize2_AmountAdjusted_;Prize2_Motivation;Prize2_MotivationTop;Religion;ReligionSubgroup;Ethnicity;PublicationYear;PublicationSource;PublicationTimegap;ParCatDegreeInstitution;ParCatDegreeCity;ParCatDegreeCountry;ParCatDegreeCityCountry;ParCatWorkInstitution;ParCatWorkCity;ParCatWorkCountry;ParCatWorkCityCountry;ParCatPrizeInstitution;ParCatPrizeCity;ParCatPrizeCountry;ParCatPrizeCityCountry
745.0;A. Michael Spence;A. Michael;Spence;male;;;;;;;;;;1943-00-00;Montclair, NJ;Montclair, NJ;https://www.wikidata.org/wiki/Q678437;40.82593;-74.20903;USA;United States;https://www.wikidata.org/wiki/Q30;39.828175;-98.5795;North America;;;;;;;;;;;;;Michael_Spence;https://en.wikipedia.org/wiki/Michael_Spence;2001;Economic Sciences;1/3;2001-10-10;received;10000000;13927869;for their analyses of markets with asymmetric information;;Stanford University;Stanford University;Stanford, CA;Stanford, CA;37.424734;-122.163858;USA;United States;39.828175;-98.5795;North America;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unknown;;European;;;;;;;;;;;;;;;
102.0;Aage N. Bohr;Aage N.;Bohr;male;;;;;;;;;;1922-06-19;Copenhagen;Copenhagen;https://www.wikidata.org/wiki/Q1748;55.678127;12.572532;Denmark;Denmark;https://www.wikidata.org/wiki/Q35;56.0;10.0;Europe;2009-09-08;Copenhagen;Copenhagen;https://www.wikidata.org/wiki/Q1748;55.678127;12.572532;Denmark;Denmark;https://www.wikidata.org/wiki/Q35;56.0;10.0;Europe;Aage_Bohr;https://en.wikipedia.org/wiki/Aage_Bohr;1975;Physics;1/3;1975-10-17;received;630000;3856254;for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection;;Niels Bohr Institute;Niels Bohr Institute;Copenhagen;Copenhagen;55.678127;12.572532;Denmark;Denmark;56.0;10.0;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jewish;;European;1953.0;Harvard Dataverse;22.0;;;;;;;;;;;;
779.0;Aaron Ciechanover;Aaron;Ciechanover;male;;;;;;;;;;1947-10-01;Haifa;Haifa;https://www.wikidata.org/wiki/Q41621;32.794421;34.99034;British Protectorate of Palestine;Israel;https://www.wikidata.org/wiki/Q801;31.0;35.0;Asia;;;;;;;;;;;;;Aaron_Ciechanover;https://en.wikipedia.org/wiki/Aaron_Ciechanover;2004;Chemistry;1/3;2004-10-06;received;10000000;13324969;for the discovery of ubiquitin-mediated protein degradation;;Technion - Israel Institute of Technology;Technion - Israel Institute of Technology;Haifa;Haifa;32.794421;34.99034;Israel;Israel;31.0;35.0;Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jewish;;European;1980.0;Harvard Dataverse;24.0;Hebrew University–Hadassah;Jerusalem;Israel;Jerusalem (Israel);Technion—Israel Institute of Technology;Haifa;Israel;Haifa (Israel);Technion—Israel Institute of Technology;Haifa;Israel;Haifa (Israel)
259.0;Aaron Klug;Aaron;Klug;male;;;;;;;;;;1926-08-11;Zelvas;Zelvas;https://www.wikidata.org/wiki/Q691679;53.148256;24.816515;Lithuania;Lithuania;https://www.wikidata.org/wiki/Q37;55.2;24.0;Europe;2018-11-20;;;;;;;;;;;;Aaron_Klug;https://en.wikipedia.org/wiki/Aaron_Klug;1982;Chemistry;1;1982-10-18;received;1150000;3514532;for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes;;MRC Laboratory of Molecular Biology;MRC Laboratory of Molecular Biology;Cambridge;Cambridge;52.194605;0.135092;United Kingdom;United Kingdom;54.6;-2.0;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jewish;;European;1968.0;Harvard Dataverse;14.0;;;;;;;;;;;;
1004.0;Abdulrazak Gurnah;Abdulrazak;Gurnah;male;;;;;;;;;;1948-00-00;;;;;;;;;;;;;;;;;;;;;;;;Abdulrazak_Gurnah;https://en.wikipedia.org/wiki/Abdulrazak_Gurnah;2021;Literature;1;2021-10-07;received;10000000;10836735;for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Muslim;;African;;;;;;;;;;;;;;;
114.0;Abdus Salam;Abdus;Salam;male;;;;;;;;;;1926-01-29;Jhang Maghiāna;Jhang Maghiāna;https://www.wikidata.org/wiki/Q1026616;31.268056;72.318056;India;Pakistan;https://www.wikidata.org/wiki/Q843;30.0;71.0;Asia;1996-11-21;Oxford;Oxford;https://www.wikidata.org/wiki/Q34217;51.753363;-1.260979;United Kingdom;United Kingdom;https://www.wikidata.org/wiki/Q145;54.6;-2.0;Europe;Abdus_Salam;https://en.wikipedia.org/wiki/Abdus_Salam;1979;Physics;1/3;1979-10-15;received;800000;3384861;for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current;;International Centre for Theoretical Physics;International Centre for Theoretical Physics;Trieste;Trieste;45.649433;13.776623;Italy;Italy;42.5;12.5;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Muslim;;Asian;1968.0;Harvard Dataverse;11.0;;;;;;;;;;;;
982.0;Abhijit Banerjee;Abhijit;Banerjee;male;;;;;;;;;;1961-02-21;Mumbai;Mumbai;https://www.wikidata.org/wiki/Q1156;19.075833;72.8775;India;India;https://www.wikidata.org/wiki/Q668;22.8;83.0;Asia;;;;;;;;;;;;;Abhijit_Banerjee;https://en.wikipedia.org/wiki/Abhijit_Banerjee;2019;Economic Sciences;1/3;2019-10-14;received;9000000;10013620;for their experimental approach to alleviating global poverty;;Massachusetts Institute of Technology (MIT);Massachusetts Institute of Technology (MIT);Cambridge, MA;Cambridge, MA;42.374024;-71.107306;USA;United States;39.828175;-98.5795;North America;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unknown;;Asian;;;;;;;;;;;;;;;
981.0;Abiy Ahmed Ali;Abiy;Ahmed Ali;male;;;;;;;;;;1976-08-15;Beshasha;Beshasha;https://www.wikidata.org/wiki/Q2899862;7.795864;36.477062;Ethiopia;Ethiopia;https://www.wikidata.org/wiki/Q115;9.0;40.0;Africa;;;;;;;;;;;;;Abiy_Ahmed;https://en.wikipedia.org/wiki/Abiy_Ahmed;2019;Peace;1;2019-10-11;received;9000000;10013620;for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Christian;Evangelical Pentecostal;African;;;;;;;;;;;;;;;
843.0;Ada E. Yonath;Ada E.;Yonath;female;;;;;;;;;;1939-06-22;Jerusalem;Jerusalem;https://www.wikidata.org/wiki/Q1218;31.767983;35.213809;British Mandate of Palestine;Israel;https://www.wikidata.org/wiki/Q801;31.0;35.0;Asia;;;;;;;;;;;;;Ada_Yonath;https://en.wikipedia.org/wiki/Ada_Yonath;2009;Chemistry;1/3;2009-10-07;received;10000000;12413793;for studies of the structure and function of the ribosome;;Weizmann Institute of Science;Weizmann Institute of Science;Rehovot;Rehovot;31.892773;34.811272;Israel;Israel;31.0;35.0;Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jewish;;European;2000.0;Harvard Dataverse;9.0;Weizman Institute (WIS);Rehovot;Israel;Rehovot (Israel);Max-Planck Research Unit for Ribosome Structure;Hamburg;Germany;Hamburg (Germany);Weizmann Institute of Science;Rehovot;Israel;Rehovot (Israel)
866.0;Adam G. Riess;Adam G.;Riess;male;;;;;;;;;;1969-12-16;Washington, D.C.;Washington, D.C.;https://www.wikidata.org/wiki/Q61;38.899065;-77.036523;USA;United States;https://www.wikidata.org/wiki/Q30;39.828175;-98.5795;North America;;;;;;;;;;;;;Adam_Riess;https://en.wikipedia.org/wiki/Adam_Riess;2011;Physics;1/4;2011-10-04;received;10000000;11946007;for the discovery of the accelerating expansion of the Universe through observations of distant supernovae;;Johns Hopkins University;Johns Hopkins University;Baltimore, MD;Baltimore, MD;39.291586;-76.625305;USA;United States;39.828175;-98.5795;North America;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jewish;;European;1998.0;Harvard Dataverse;13.0;Harvard University;Cambridge;United States;Cambridge (United States);University of California;Berkeley;United States;Berkeley (United States);John Hopkins University;Baltimore;United States;Baltimore (United States)
