ID_Laureate;AwardeeDisplayName;Religion;ReligionSubgroup
981;Abiy Ahmed Ali;Christian;Evangelical Pentecostal
541;Adolfo Pérez Esquivel;Christian;Roman Catholic
819;Al Gore;Christian;Protestant (Baptist)
465;Albert Gobat;Christian;Protestant
519;Albert Lutuli;Christian;Protestant (Methodist)
513;Albert Schweitzer;Christian;Christian
644;Aleksandr Solzhenitsyn;Christian;Eastern Orthodox
1018;Ales Bialiatski;Christian;Roman Catholic
306;Alexis Carrel;Christian;Roman Catholic
544;Alfonso García Robles;Christian;Roman Catholic
509;American Friends Service Committee;Christian;Religious Society of Friends (Quaker)
618;André Gide;Christian;Protestant
101;Antony Hewish;Christian;Christian
33;Arthur H. Compton;Christian;Presbyterian
499;Arthur Henderson;Christian;Protestant (Methodist)
475;Auguste Beernaert;Christian;Roman Catholic
845;Barack H. Obama;Christian;Protestant
468;Bertha von Suttner;Christian;Roman Catholic
535;Betty Williams;Christian;Roman Catholic
572;Bjørnstjerne Bjørnson;Christian;Protestant
879;Brian Kobilka;Christian;Catholic
666;Camilo José Cela;Christian;Roman Catholic
500;Carl von Ossietzky;Christian;Protestant (Lutheran)
562;Carlos Filipe Ximenes Belo;Christian;Roman Catholic
489;Charles G. Dawes;Christian;Protestant (Congregationalist)
22;Charles Glover Barkla;Christian;Methodist
81;Charles H. Townes;Christian;Protestant (United Church of Christ)
486;Christian Lange;Christian;Lutheran (Church of Norway)
858;Christopher A. Pissarides;Christian;Eastern Orthodox
505;Cordell Hull;Christian;Protestant (Episcopalian)
657;Czesław Miłosz;Christian;Roman Catholic
520;Dag Hammarskjöld;Christian;Protestant (Lutheran)
567;David Trimble;Christian;Protestant (Presbyterian)
966;Denis Mukwege;Christian;Pentecostal
669;Derek Walcott;Christian;Protestant (Methodist)
546;Desmond Tutu;Christian;Protestant (Anglican)
464;Élie Ducommun;Christian;Protestant
480;Elihu Root;Christian;Protestant (Presbyterian)
846;Elinor Ostrom;Christian;Protestant
869;Ellen Johnson Sirleaf;Christian;Protestant (Methodist)
506;Emily Greene Balch;Christian;Quaker
625;Ernest Hemingway;Christian;Converted to Roman Catholicism
57;Ernest T.S. Walton;Christian;Methodist
471;Ernesto Teodoro Moneta;Christian;Roman Catholic
