nomination_id;nomination_title;nomination_year;nomination_number;nomination_num_nominees;nomination_num_nominators;nomination_category_from_title;nomination_motivation;nomination_comments;other_information;nominator_1_name;nominator_1_id;nominator_1_gender;nominator_1_year_birth;nominator_1_year_death;nominator_1_profession;nominator_1_university;nominator_1_city;nominator_1_country;nominator_1_comments;nominator_1_awarded_prizes;nominee_1_name;nominee_1_id;nominee_1_gender;nominee_1_year_birth;nominee_1_year_death;nominee_1_profession;nominee_1_university;nominee_1_city;nominee_1_country;nominee_1_awarded_prizes;nominee_2_name;nominee_2_id;nominee_2_gender;nominee_2_year_birth;nominee_2_year_death;nominee_2_profession;nominee_2_university;nominee_2_city;nominee_2_country;nominee_2_awarded_prizes;nominee_3_name;nominee_3_id;nominee_3_gender;nominee_3_year_birth;nominee_3_year_death;nominee_3_profession;nominee_3_university;nominee_3_city;nominee_3_country;nominee_3_awarded_prizes;nominee_4_name;nominee_4_id;nominee_4_gender;nominee_4_year_birth;nominee_4_year_death;nominee_4_profession;nominee_4_university;nominee_4_city;nominee_4_country;nominee_4_awarded_prizes;nominee_5_name;nominee_5_id;nominee_5_gender;nominee_5_year_birth;nominee_5_year_death;nominee_5_profession;nominee_5_university;nominee_5_city;nominee_5_country;nominee_5_awarded_prizes;nominee_6_name;nominee_6_id;nominee_6_gender;nominee_6_year_birth;nominee_6_year_death;nominee_6_profession;nominee_6_university;nominee_6_city;nominee_6_country;nominee_6_awarded_prizes;nominee_7_name;nominee_7_id;nominee_7_gender;nominee_7_year_birth;nominee_7_year_death;nominee_7_profession;nominee_7_university;nominee_7_city;nominee_7_country;nominee_7_awarded_prizes;nominee_8_name;nominee_8_id;nominee_8_gender;nominee_8_year_birth;nominee_8_year_death;nominee_8_profession;nominee_8_university;nominee_8_city;nominee_8_country;nominee_8_awarded_prizes;nominee_9_name;nominee_9_id;nominee_9_gender;nominee_9_year_birth;nominee_9_year_death;nominee_9_profession;nominee_9_university;nominee_9_city;nominee_9_country;nominee_9_awarded_prizes
0;;;-;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Nomination for Nobel Peace Prize;0;0 - 0;0;0;Peace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nomination for Nobel Prize in Physiology or Medicine;0;0 - 0;0;0;Physiology or Medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Nomination for Nobel Prize in Physics;1901;1 - 0;1;1;Physics;;;;Adolf J von Baeyer;9713;M;1835;1917;Member of the Royal Swedish Academy of Sciences, NP che 1905;University of Munich;Munich;GERMANY (DE);;Chemistry 1905;Svante A Arrhenius;511;M;1859;1927;;Stockholm University;Stockholm;SWEDEN (SE);Chemistry 1903;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Nomination for Nobel Prize in Physics;1902;1 - 0;1;1;Physics;;;;Friedrich von Hefner-Alteneck;9778;M;;;member of the Royal Swedish Academy of Sciences;;;GERMANY (DE);;;Svante A Arrhenius;511;M;1859;1927;;Stockholm University;Stockholm;SWEDEN (SE);Chemistry 1903;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Nomination for Nobel Prize in Physics;1903;1 - 0;1;1;Physics;;;;Christian Christiansen;1789;M;;;member of the Royal Swedish Academy of Sciences;;;DENMARK (DK);;;Svante A Arrhenius;511;M;1859;1927;;Stockholm University;Stockholm;SWEDEN (SE);Chemistry 1903;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Nomination for Nobel Prize in Physics;1905;1 - 0;1;1;Physics;;;;Adolf Winkelmann;10245;M;;;specially invited individual;;;GERMANY (DE);;;Ernst Abbe;276;M;1840;1905;;;;GERMANY (DE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Nomination for Nobel Prize in Physics;1906;1 - 0;1;1;Physics;;;;Vincenz A Czerny;2080;M;1842;1916;member of the Royal Swedish Academy of Sciences;;;GERMANY (DE);;;Ludwig Boltzmann;1133;M;1844;1906;;;;AUSTRIA (AT);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Nomination for Nobel Prize in Physics;1907;1 - 0;1;1;Physics;;;;Adolf Winkelmann;10245;M;;;chairholder at invited university;;;GERMANY (DE);;;Ferdinand C Braun;1298;M;1850;1918;;University of Strasbourg;Strasbourg;GERMANY (DE);Physics 1909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Nomination for Nobel Prize in Physics;1908;1 - 0;1;1;Physics;;;;Ottokar Tumlirz;9397;M;;;chairholder at invited university;;;AUSTRIA (AT);;;Emile Amagat;397;M;1841;;;;;FRANCE (FR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
